;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
1361;within an hour;90%;t;1.0;-22.98388;-43.189890000000005;Apartment;Entire home/apt;15;3.0;4.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";522.0;$200.00;10;75.0;2;1125;38;t;f;strict_14_with_grace_period;2020;4
1362;within a day;75%;f;1.0;-22.98396;-43.22002;Aparthotel;Entire home/apt;5;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Doorman,Gym,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Children’s books and toys"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",Beachfront,""Paid parking on premises""}";300.0;$150.00;4;100.0;7;1125;2;f;f;strict_14_with_grace_period;2020;4
1363;within an hour;100%;f;5.0;-22.96265;-43.17565;Apartment;Entire home/apt;10;4.0;3.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Hangers,Iron,""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water""}";659.0;$316.00;6;42.0;3;1125;29;t;f;strict_14_with_grace_period;2020;4
1364;within an hour;100%;f;8.0;-22.97675;-43.18773;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Bed linens"",Microwave,""Coffee maker"",Refrigerator}";744.0;$346.00;6;0.0;1;1125;48;t;f;super_strict_60;2020;4
1365;within a day;100%;f;3.0;-22.963379999999997;-43.174659999999996;Apartment;Entire home/apt;4;1.0;1.0;2.0;Pull-out Sofa;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Cleaning before checkout"",Waterfront,Beachfront}";227.0;$120.00;1;0.0;3;20;0;f;f;strict_14_with_grace_period;2020;4
1366;within a few hours;100%;t;2.0;-22.98074;-43.18926;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}";207.0;$150.00;4;40.0;3;1125;148;f;f;strict_14_with_grace_period;2020;4
1367;within a few hours;100%;t;3.0;-22.9646;-43.17824;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}";128.0;$150.00;2;25.0;3;30;107;t;f;strict_14_with_grace_period;2020;4
1370;within a few hours;100%;f;1.0;-22.96278;-43.17373;Apartment;Entire home/apt;7;1.0;2.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",Beachfront,""Paid parking on premises""}";200.0;$350.00;1;0.0;1;1125;12;f;f;strict_14_with_grace_period;2020;4
1372;within an hour;100%;f;1.0;-22.93198;-43.18025;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Window guards"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}";207.0;$150.00;1;0.0;4;15;24;f;f;moderate;2020;4
1373;within an hour;100%;f;1.0;-22.96467;-43.17553;Loft;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Gym,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",Beachfront,""Trash can""}";121.0;$160.00;2;65.0;5;90;75;f;f;strict_14_with_grace_period;2020;4
1374;within a few hours;100%;t;5.0;-22.98486;-43.19615;Apartment;Entire home/apt;4;1.0;0.0;0.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials}";248.0;$316.00;2;105.0;3;1125;55;f;f;strict_14_with_grace_period;2020;4
1375;within a day;100%;t;2.0;-22.96513;-43.1805;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}";174.0;$250.00;4;120.0;3;1125;25;f;f;strict_14_with_grace_period;2020;4
1376;a few days or more;0%;f;1.0;-22.984920000000002;-43.223259999999996;House;Private room;2;1.0;1.0;1.0;Real Bed;"{""Cable TV"",Internet,""Air conditioning"",""Free parking on premises"",Doorman,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom""}";1001.0;$500.00;1;0.0;3;1125;0;f;f;strict_14_with_grace_period;2020;4
